Nyomtatvany,Kod,Adoazon,Adattípus,Max_hossz,Lap,Sor,Oszlop,Dinamikus,EAzon,Kihagyva,Megnevezes
2408M,13841,adozo_adoszam,S,11,2408M,1,0,F,0A0001C001A,F,
2408M,13842,adozo_adoazonosito_jel,S,10,2408M,2,0,F,0A0001C002A,F,
2408M,13843,adozo_nev,S,75,2408M,3,0,F,0A0001C003A,F,
2408M,17428,adozo_csaladi_titulus,S,11,2408M,4,0,F,0A0001C004A,F,
2408M,17429,adozo_csaladi_vnev,S,40,2408M,5,0,F,0A0001C005A,F,
2408M,17430,adozo_csaladi_knev,S,40,2408M,6,0,F,0A0001C006A,F,
2408M,13844,adoazonosito_jel,S,10,2408M,7,0,F,0A0001C007A,F,
2408M,13845,neme,S,1,2408M,8,0,F,0A0001C008A,F,
2408M,13846,allampolgarsag,S,2,2408M,9,0,F,0A0001C009A,F,
2408M,13847,adoszam,S,11,2408M,10,0,F,0A0001C010A,F,
2408M,21917,kulfoldi_illetekessegu,L,1,2408M,11,0,F,0A0001C011A,F,
2408M,25399,EU_adoazonosito,S,21,2408M,12,0,F,0A0001C012A,F,
2408M,16960,tulajdonostars_adoszam,S,11,2408M,13,0,F,0A0001C013A,F,
2408M,22731,kulfoldi_illetekessegu_allam,S,2,2408M,14,0,F,0A0001C014A,F,
2408M,13848,tevekenyseg_azonosito,S,15,2408M,15,0,F,0A0001C015A,F,
2408M,13849,csaladi_gazd_nyszam,S,12,2408M,16,0,F,0A0001C016A,F,
2408M,6275,csaladi_titulus,S,11,2408M,17,0,F,0A0001C017A,F,
2408M,14807,csaladi_vnev,S,40,2408M,18,0,F,0A0001C018A,F,
2408M,14808,csaladi_knev,S,40,2408M,19,0,F,0A0001C019A,F,
2408M,20517,elozo_titulus,S,11,2408M,20,0,F,0A0001C020A,F,
2408M,20518,elozo_vnev,S,40,2408M,21,0,F,0A0001C021A,F,
2408M,20519,elozo_knev,S,40,2408M,22,0,F,0A0001C022A,F,
2408M,17052,szuletesi_vnev,S,40,2408M,23,0,F,0A0001C023A,F,
2408M,17053,szuletesi_knev,S,40,2408M,24,0,F,0A0001C024A,F,
2408M,17054,anyja_szuletesi_vnev,S,40,2408M,25,0,F,0A0001C025A,F,
